INDIVIDUALS	STRATA
SHED-15_055	NOR
CHET-12_033	NOR
T4P4-16_019	NOR
CARA-15_041	NOR
TIGN-15_051	NOR
STGB-12_030	NOR
T2P1-16_046	NOR
POIN-15_031	NOR
PORT-12_038	NOR
CARA-15_053	NOR
ANTI-12_030	NOR
ANTI-15_018	NOR
ARIS-15_022	NOR
TRIT-12_002	NOR
FOUR-15_039	NOR
T4P1-16_047	NOR
STJI-12_027	NOR
FORT-16_043	NOR
TRIT-12_048	NOR
T3P4-16_011	NOR
BONA-15_029	NOR
T3P4-16_053	NOR
VALC-12_025	NOR
DRUM-15_026	NOR
CAPM-12_039	NOR
MALP-15_021	NOR
CANS-12_030	NOR
FALS-15_009	NOR
FALS-15_040	NOR
T5P1-16_049	NOR
ETDN-15_002	NOR
FORT-15_008	NOR
BURG-15_053	NOR
SIDN-12_005	NOR
ETDN-15_003	NOR
CAPM-12_026	NOR
ARIS-15_052	NOR
T3P4-16_039	NOR
STGB-12_041	NOR
BIGB-15_018	NOR
TONE-12_027	NOR
DRUM-15_009	NOR
FALS-15_016	NOR
STJI-12_008	NOR
SEPX-15_016	NOR
T1P2-16_025	NOR
ECUM-17_031	NOR
SOUR-15_047	NOR
MALP-15_019	NOR
T5P1-16_047	NOR
CANS-12_023	NOR
STGM-15_014	NOR
PORT-12_039	NOR
CAPM-12_037	NOR
ROCK-16_052	NOR
TONE-12_046	NOR
STJI-12_043	NOR
T5P1-16_048	NOR
BIGB-15_012	NOR
T2P4-16_044	NOR
SIDN-12_001	NOR
TONE-12_026	NOR
ARIS-15_002	NOR
ROCK-16_007	NOR
T2P3-16_056	NOR
T2P2-16_007	NOR
CANS-12_025	NOR
TRIT-12_009	NOR
T4P2-16_027	NOR
ANTI-15_025	NOR
T4P2-16_046	NOR
CHET-12_041	NOR
T2P3-16_038	NOR
POBA-16_036	NOR
SIDN-12_041	NOR
CARA-12_020	NOR
GASP-12_026	NOR
T2P1-16_042	NOR
PORT-12_017	NOR
T1P3-16_009	NOR
STGB-12_044	NOR
MALP-15_007	NOR
T4P2-16_052	NOR
ECUM-17_041	NOR
PLAC-16_003	NOR
T4P1-16_001	NOR
BONA-15_003	NOR
GASP-12_038	NOR
T4P3-16_050	NOR
STGM-15_034	NOR
DRUM-15_029	NOR
MALP-15_044	NOR
T1P1-16_011	NOR
ETDN-12_010	NOR
T2P4-16_041	NOR
T3P3-16_001	NOR
T4P2-16_037	NOR
T2X-16_012	NOR
FALS-15_053	NOR
T5P4-16_025	NOR
T3P2-16_028	NOR
T2P1-16_049	NOR
TONE-12_004	NOR
BURG-12_032	NOR
T3P3-16_044	NOR
T1P1-16_034	NOR
PORT-12_013	NOR
ROCK-16_026	NOR
T2P4-16_029	NOR
ANTI-15_015	NOR
POBA-16_038	NOR
BIGB-12_034	NOR
MALP-15_034	NOR
SEPX-15_022	NOR
PORT-12_028	NOR
CHET-12_020	NOR
POIN-15_016	NOR
STGB-12_040	NOR
T5P1-16_054	NOR
SIDN-12_009	NOR
SHED-15_001	NOR
PORT-12_048	NOR
BURG-12_041	NOR
T3P4-16_046	NOR
TONE-12_008	NOR
SHED-15_057	NOR
T5P3-16_027	NOR
TONE-12_036	NOR
FOUR-15_044	NOR
T2P1-16_012	NOR
